Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
B2,0.1338,0.137600005,0.149800003,0.167699993,0.189099997,0.207499996,0.226600006,0.253699988,0.286199987,0.323500007,0.370700002,0.4208,0.478500009,0.540600002,0.602199972,0.672699988,0.756299973,0.849600017,0.935199976,1.004299998,1.065199971,1.106299996,1.126199961,1.146100044,1.171000004,1.195700049,1.23360002,1.255800009,1.279099941,1.297899961,1.317800045,1.325799942,1.334400058,1.330199957,1.319700003,1.309299946,1.303200006,1.302000046,1.302700043,1.313599944,1.324300051,1.338600039,1.352100015,1.364199996,1.374199986,1.374799967,1.345000029,1.327499986,1.325500011,1.345399976,1.365300059,1.379299998,1.421900034,1.448699951,1.385499954
B3,0.155000001,0.149299994,0.162499994,0.184599996,0.203500003,0.225299999,0.252499998,0.282799989,0.3204,0.363200009,0.4287,0.531899989,0.61500001,0.608500004,0.640500009,0.694400012,0.754199982,0.840200007,0.948300004,1.064499974,1.182199955,1.237800002,1.282899976,1.309000015,1.326400042,1.351300001,1.375699997,1.403699994,1.425500035,1.451699972,1.46420002,1.472100019,1.475600004,1.479400039,1.480999947,1.482499957,1.492699981,1.488700032,1.482499957,1.474099994,1.47329998,1.468400002,1.469900012,1.472300053,1.471600056,1.476199985,1.481099963,1.514999986,1.519799948,1.511899948,1.515300035,1.521399975,1.542400002,1.529600024,1.538200021
B4,0.144999996,0.141499996,0.151899993,0.171200007,0.191799998,0.202999994,0.220400006,0.244800001,0.274500012,0.313699991,0.356599987,0.429500014,0.516600013,0.580500007,0.619899988,0.639500022,0.68599999,0.748899996,0.836199999,0.943199992,1.129999995,1.181699991,1.198699951,1.237200022,1.242900014,1.269000053,1.298300028,1.303300023,1.32159996,1.344599962,1.36500001,1.386600018,1.406700015,1.426800013,1.434700012,1.43690002,1.435700059,1.434900045,1.37559998,1.411900043,1.410300016,1.407799959,1.406700015,1.405799985,1.404700041,1.40199995,1.398499966,1.397199988,1.393700004,1.395300031,1.39289999,1.386399984,1.376999974,1.364300013,1.355399966
B5,0.1338,0.136899993,0.144700006,0.168200001,0.182099998,0.199699998,0.217299998,0.238800004,0.266000003,0.299400002,0.344399989,0.405699998,0.504299998,0.557200015,0.614400029,0.642099977,0.67930001,0.739499986,0.801199973,0.901000023,1.081699967,1.155599952,1.167299986,1.202800035,1.226500034,1.258399963,1.28670001,1.305899978,1.335399985,1.357900023,1.380699992,1.405300021,1.418599963,1.42809999,1.434299946,1.43900001,1.431800008,1.431900024,1.4296,1.433799982,1.432000041,1.422299981,1.416000009,1.415799975,1.416700006,1.412400007,1.412500024,1.413499951,1.417199969,1.411900043,1.411299944,1.407999992,1.394000053,1.377099991,1.354099989
B9,0.1373,0.142299995,0.160400003,0.170599997,0.180999994,0.194299996,0.207599998,0.221200004,0.231600001,0.2447,0.254999995,0.26730001,0.281100005,0.293500006,0.302599996,0.312999994,0.326700002,0.337199986,0.346899986,0.355100006,0.3662,0.370599985,0.380600005,0.396499991,0.403899997,0.415100008,0.421900004,0.422600001,0.431699991,0.442400008,0.451499999,0.452600002,0.465999991,0.468300015,0.4815,0.489300013,0.493400007,0.49849999,0.507200003,0.518299997,0.52670002,0.532800019,0.537899971,0.54610002,0.561100006,0.560500026,0.559700012,0.580600023,0.590499997,0.597899973,0.602500021,0.605599999,0.616299987,0.620899975,0.628400028
B10,0.141000003,0.132400006,0.1558,0.174700007,0.188700005,0.208700001,0.222399995,0.239600003,0.252400011,0.265500009,0.277999997,0.290499985,0.300900012,0.314300001,0.331099987,0.345400006,0.35679999,0.368800014,0.377600014,0.388999999,0.40200001,0.408199996,0.41839999,0.432099998,0.440800011,0.449400008,0.459199995,0.459699988,0.476099998,0.480500013,0.489199996,0.495900005,0.505699992,0.516300023,0.523999989,0.535099983,0.543099999,0.559400022,0.564400017,0.567700028,0.582000017,0.590799987,0.598100007,0.603100002,0.611299992,0.615499973,0.619199991,0.629599988,0.636200011,0.647499979,0.650900006,0.655300021,0.66109997,0.668799996,0.673500001
B11,0.143700004,0.131300002,0.167300001,0.169,0.188299999,0.204699993,0.222299993,0.233799994,0.243900001,0.257099986,0.270900011,0.286199987,0.296400011,0.311199993,0.327100009,0.340799987,0.353500009,0.361299992,0.370999992,0.382400006,0.394499987,0.403400004,0.413599998,0.424199998,0.434100002,0.440400004,0.450300008,0.45629999,0.468800008,0.4727,0.481999993,0.488700002,0.494700015,0.504800022,0.511600018,0.522800028,0.532599986,0.548699975,0.553200006,0.561500013,0.573599994,0.58130002,0.589600027,0.594799995,0.602699995,0.607800007,0.613499999,0.621399999,0.630200028,0.637899995,0.647499979,0.65200001,0.662299991,0.670300007,0.678300023
C2,0.135700002,0.143199995,0.151500002,0.174400002,0.186700001,0.208100006,0.227500007,0.252900004,0.286300004,0.326000005,0.371100008,0.445499986,0.521799982,0.566100001,0.60589999,0.634299994,0.677699983,0.731899977,0.820500016,0.94599998,1.121099949,1.154500008,1.166900039,1.204300046,1.245599985,1.295400023,1.343600035,1.366099954,1.39289999,1.4102,1.427299976,1.4375,1.446400046,1.455299973,1.461099982,1.461699963,1.455800056,1.449599981,1.441499949,1.427999973,1.419100046,1.42019999,1.418400049,1.41869998,1.423499942,1.421499968,1.42110002,1.41960001,1.424200058,1.411299944,1.398900032,1.392400026,1.378800035,1.35710001,1.349599957
C3,0.129700005,0.135700002,0.145899996,0.158399999,0.175500005,0.196899995,0.207499996,0.232800007,0.259000003,0.289799988,0.334399998,0.396100014,0.453999996,0.504400015,0.564499974,0.654699981,0.719399989,0.825800002,0.918600023,1.030900002,1.04429996,1.068500042,1.085399985,1.102699995,1.120399952,1.130900025,1.145400047,1.154199958,1.160899997,1.167700052,1.175099969,1.188300014,1.189599991,1.193899989,1.193099976,1.197900057,1.198500037,1.209699988,1.207299948,1.195000052,1.190299988,1.180199981,1.174600005,1.170099974,1.173599958,1.182399988,1.189200044,1.200600028,1.200899959,1.202700019,1.202100039,1.198300004,1.195600033,1.184000015,1.178300023
C4,0.126599997,0.1303,0.139899999,0.154699996,0.173600003,0.189199999,0.206,0.221499994,0.25,0.288199991,0.332100004,0.390100002,0.514299989,0.576799989,0.622300029,0.63349998,0.662699997,0.726100028,0.791499972,0.928799987,1.110200047,1.139999986,1.17750001,1.225200057,1.265699983,1.299399972,1.326900005,1.357200027,1.379699945,1.39349997,1.408900023,1.415599942,1.422199965,1.424900055,1.426800013,1.429200053,1.430799961,1.428799987,1.434100032,1.427099943,1.427299976,1.425600052,1.420600057,1.417400002,1.421300054,1.427999973,1.482599974,1.499199986,1.497799993,1.461099982,1.460600019,1.472200036,1.474900007,1.463999987,1.448500037
